url,place_id,latitude,longitude,name,category,rating,reviews_count,price_range,address,website,phone,opening_status,weekly_hours,photo_url,review_breakdown,top_reviews
https://www.google.com/maps/place/Glorious+Bastards+Konstanz/data=!4m7!3m6!1s0x479af75b1704c123:0x13ad1a00df72fc9a!8m2!3d47.6574474!4d9.176528!16s%2Fg%2F11vx4fw711!19sChIJI8EEF1v3mkcRmvxy3wAarRM?authuser=0,0x479af75b1704c123:0x13ad1a00df72fc9a,47.6574474,9.176528,Glorious Bastards Konstanz,Restaurant,4.0,,·€20–30,"Bodanstraße 1 Lago, 4.OG, 78462 Konstanz, Germany",https://glorious-bastards.at/konstanz/,+49 7531 7176152,,,,"{""5"": ""1,122"", ""4"": ""157"", ""3"": ""95"", ""2"": ""110"", ""1"": ""259""}",[]
https://www.google.com/maps/place/Heimathafen+Konstanz/data=!4m7!3m6!1s0x479af77d5a86fff3:0xb8dc1a28bea3e376!8m2!3d47.6788123!4d9.1627105!16s%2Fg%2F11h07t9k9b!19sChIJ8_-GWn33mkcRduOjviga3Lg?authuser=0,0x479af77d5a86fff3:0xb8dc1a28bea3e376,47.6788123,9.1627105,Heimathafen Konstanz,Cafe,4.6,,·€10–20,"Cherisy-Straße 3, 78467 Konstanz, Germany",http://heimathafen-kn.de/,+49 7531 9217140,,,,"{""5"": ""404"", ""4"": ""61"", ""3"": ""19"", ""2"": ""13"", ""1"": ""18""}",[]
https://www.google.com/maps/place/Heinrich/data=!4m7!3m6!1s0x479af71d40365a2d:0x10feb75ed7961936!8m2!3d47.6625058!4d9.1752351!16s%2Fg%2F11fy4n1y2c!19sChIJLVo2QB33mkcRNhmW1163_hA?authuser=0,0x479af71d40365a2d:0x10feb75ed7961936,47.6625058,9.1752351,Heinrich,Cafe,4.0,,·€10–20,"Zollernstraße 26, 78462 Konstanz-Altstadt, Germany",https://das-heinrich.de/,+49 7531 6918833,,,,"{""5"": ""583"", ""4"": ""313"", ""3"": ""130"", ""2"": ""104"", ""1"": ""95""}",[]
https://www.google.com/maps/place/EAT+HAPPY/data=!4m7!3m6!1s0x479af7b585b5810b:0x9097ed49266a573a!8m2!3d47.672229!4d9.16752!16s%2Fg%2F11gzs7gv89!19sChIJC4G1hbX3mkcROldqJkntl5A?authuser=0,0x479af7b585b5810b:0x9097ed49266a573a,47.672229,9.16752,EAT HAPPY,,4.8,1,,"Reichenaustraße 36, 78467 Konstanz, Germany",https://www.eathappy.de/standorte/?q=78467,+49 221 6699360,,,,"{""5"": ""10"", ""4"": ""2"", ""3"": ""0"", ""2"": ""0"", ""1"": ""0""}",[]
https://www.google.com/maps/place/Iu+Mi+Sushi+Bar/data=!4m7!3m6!1s0x479af76c824989ab:0x8af3e2c0934fe26d!8m2!3d47.6601081!4d9.1715615!16s%2Fg%2F11j_x5h1sh!19sChIJq4lJgmz3mkcRbeJPk8Di84o?authuser=0,0x479af76c824989ab:0x8af3e2c0934fe26d,47.6601081,9.1715615,Iu Mi Sushi Bar,Restaurant,4.6,,·€20–30,"Ob. Laube 69, 78462 Konstanz-Altstadt, Germany",http://iumi-sushi.de/,+49 7531 9229209,,,,"{""5"": ""332"", ""4"": ""59"", ""3"": ""22"", ""2"": ""10"", ""1"": ""12""}",[]
https://www.google.com/maps/place/Constanzer+Wirtshaus/data=!4m7!3m6!1s0x479af7023b985443:0xf5a54fd3ab1fe0e6!8m2!3d47.6676555!4d9.1775302!16s%2Fg%2F11b88lxycm!19sChIJQ1SYOwL3mkcR5uAfq9NPpfU?authuser=0,0x479af7023b985443:0xf5a54fd3ab1fe0e6,47.6676555,9.1775302,Constanzer Wirtshaus,German restaurant,4.4,,·€20–30,"Spanierstraße 3, 78467 Konstanz-Petershausen-West, Germany",http://www.constanzer-wirtshaus.de/,+49 7531 3630130,,,,"{""5"": ""4,343"", ""4"": ""1,863"", ""3"": ""565"", ""2"": ""207"", ""1"": ""218""}",[]
https://www.google.com/maps/place/No.5/data=!4m7!3m6!1s0x479af78536382f89:0xd2f36a3a368505bd!8m2!3d47.6581169!4d9.1709544!16s%2Fg%2F11stv3lx5l!19sChIJiS84NoX3mkcRvQWFNjpq89I?authuser=0,0x479af78536382f89:0xd2f36a3a368505bd,47.6581169,9.1709544,No.5,Pizza restaurant,4.9,,·€10–20,"Kreuzlinger Str. 5, 78462 Konstanz, Germany",,+49 160 91511292,,,,"{""5"": ""361"", ""4"": ""38"", ""3"": ""3"", ""2"": ""1"", ""1"": ""0""}",[]
https://www.google.com/maps/place/Brotalgut+-+Sauerteigbackstube/data=!4m7!3m6!1s0x479af742586b7591:0x7cc6a1669a9f1c5b!8m2!3d47.6615087!4d9.1764075!16s%2Fg%2F11sszqjr17!19sChIJkXVrWEL3mkcRWxyfmmahxnw?authuser=0,0x479af742586b7591:0x7cc6a1669a9f1c5b,47.6615087,9.1764075,Brotalgut - Sauerteigbackstube,Bakery,4.8,,·€1–10,"Salmannsweilergasse 4, 78462 Konstanz, Germany",http://www.brotalgut-konstanz.de/, Send to phone,,,,"{""5"": ""103"", ""4"": ""2"", ""3"": ""2"", ""2"": ""3"", ""1"": ""2""}",[]
https://www.google.com/maps/place/DIE+EISBAR/data=!4m7!3m6!1s0x479af7ba84e4c493:0x8c9cfbdef9cfd56c!8m2!3d47.6616081!4d9.1742075!16s%2Fg%2F11j8vkn8m5!19sChIJk8TkhLr3mkcRbNXP-d77nIw?authuser=0,0x479af7ba84e4c493:0x8c9cfbdef9cfd56c,47.6616081,9.1742075,DIE EISBAR,Sundae restaurant,4.8,,·€1–10,"Wessenbergstraße 13A, 78462 Konstanz-Altstadt, Germany",, Send to phone,,,,"{""5"": ""394"", ""4"": ""46"", ""3"": ""6"", ""2"": ""3"", ""1"": ""11""}",[]
https://www.google.com/maps/place/I%E2%80%98bro%E2%80%98s/data=!4m7!3m6!1s0x479af50038887dd5:0x7c108dd7cbcba36e!8m2!3d47.7140467!4d9.0705275!16s%2Fg%2F11mm8l4sdj!19sChIJ1X2IOAD1mkcRbqPLy9eNEHw?authuser=0,0x479af50038887dd5:0x7c108dd7cbcba36e,47.7140467,9.0705275,I‘bro‘s,Doner kebab restaurant,4.3,,·€1–10,"Konstanzer Str. 16, 78476 Allensbach, Germany",,+49 7533 9400275,,,,"{""5"": ""30"", ""4"": ""3"", ""3"": ""0"", ""2"": ""1"", ""1"": ""5""}",[]
